scraped_at,chart_label,chart_id,week_ending,series,Indexed value*,Year over year,Week over week,value
2026-03-30T20:40:11.988Z,total_us_staffing,2727a150-ae63-4e23-abc9-c0d5e9960f8b,"March 14, 2026",US staffing,95,0%,-0.5%,
2026-03-30T20:40:11.988Z,total_us_staffing,2727a150-ae63-4e23-abc9-c0d5e9960f8b,"March 14, 2026",Commercial staffing,75,0%,-0.4%,
2026-03-30T20:40:11.988Z,total_us_staffing,2727a150-ae63-4e23-abc9-c0d5e9960f8b,"March 14, 2026",Professional staffing,116,-1%,-0.6%,
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/15/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/22/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/29/2025,US staffing,,,,35.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/05/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/12/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/19/2025,US staffing,,,,34.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/26/2025,US staffing,,,,34.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/03/2025,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/10/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/17/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/24/2025,US staffing,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/31/2025,US staffing,,,,32.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/07/2025,US staffing,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/14/2025,US staffing,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/21/2025,US staffing,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/28/2025,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/05/2025,US staffing,,,,31.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/12/2025,US staffing,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/19/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/26/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/02/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/09/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/16/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/23/2025,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/30/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/06/2025,US staffing,,,,32.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/13/2025,US staffing,,,,34.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/20/2025,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/27/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/04/2025,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/11/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/18/2025,US staffing,,,,34.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/25/2025,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/01/2025,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/08/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/15/2025,US staffing,,,,34.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/22/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/29/2025,US staffing,,,,29.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/06/2025,US staffing,,,,33.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/13/2025,US staffing,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/20/2025,US staffing,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/27/2025,US staffing,,,,28.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/03/2026,US staffing,,,,28.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/10/2026,US staffing,,,,33
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/17/2026,US staffing,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/24/2026,US staffing,,,,33.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/31/2026,US staffing,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/07/2026,US staffing,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/14/2026,US staffing,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/21/2026,US staffing,,,,34.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/28/2026,US staffing,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/07/2026,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/14/2026,US staffing,,,,35.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/21/2026,US staffing,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/15/2025,Commercial,,,,35.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/22/2025,Commercial,,,,35.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/29/2025,Commercial,,,,35.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/05/2025,Commercial,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/12/2025,Commercial,,,,35.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/19/2025,Commercial,,,,34.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/26/2025,Commercial,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/03/2025,Commercial,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/10/2025,Commercial,,,,35.2
